title,url
"폭우 때 전 맛있다던 마포구청장, 이번엔 도서관장 직위해제... 왜?",https://v.daum.net/v/20230419120302559
"학폭 담당교사 85% ""정부 대책, 학폭 근절에 기여 안 해""",https://v.daum.net/v/20230419141658804
"文 '허망' 발언에…與 ""불공정·내로남불 점철, 국민이 허망""",https://v.daum.net/v/20230419142008962
"민주, 전세사기 피해자 대책 '先 지원, 後 구상권 청구' 제안",https://v.daum.net/v/20230419142048992
"민주 ""송영길, 당장 귀국하라""…당내, 압박 성명 잇따라",https://v.daum.net/v/20230419131702886
방송법 개정안 대안 없이 법안소위 개최 '지연' 전략펴는 국민의힘,https://v.daum.net/v/20230419141741846
여야 전쟁터 법사위 야당 간사... 기동민 물러나고 권칠승 물망,https://v.daum.net/v/20230419141120632
"1년 애지중지 기른 딸을 빼앗길 뻔했다, 영문도 모른채 [입양을 인터뷰하다 시즌2]",https://v.daum.net/v/20230419140900553
숲 태교가 임신 스트레스 낮춘다,https://v.daum.net/v/20230419090941748
"제주 감귤, 러시아 막히자 동남아로 간다",https://v.daum.net/v/20230419140600437
타이완 차기 총통으로 라이칭더 유력… 가상 대결서 국민당 후보에 앞서,https://v.daum.net/v/20230419132703131
"이번엔 '전자충격기'… 공항 보안, 도마 위",https://v.daum.net/v/20230419112748058
"[단독]유동규 “정진상, 김만배 보고 ‘사쿠라’라더니 나중엔 ‘센 기자’라고…”[로ː맨스]",https://v.daum.net/v/20230419110111791
"'2050년 韓 잠재성장률 0%' 경고등…이창양 산업장관 ""과감한 정책 필요""",https://v.daum.net/v/20230419140010191
"美 FTC ""AI 소비자 피해 급증 우려…단속 권한 있어""",https://v.daum.net/v/20230419141057619
"허재호 전 대주그룹 회장 횡령 사건, 본지 보도 10개월여 만에 재수사",https://v.daum.net/v/20230419141001584
"""100만장자 9만7천명""...서울 억만장자는 몇 명?",https://v.daum.net/v/20230419111946670
올해 전세계 쌀 870만톤 부족할듯…20년래 최대 규모,https://v.daum.net/v/20230419140647484
"이재명 ""국민이 오만한 독재 몰아낸 날…4·19 정신 깊이 새길 것""",https://v.daum.net/v/20230419124524286
"①美에 선물 ②재건 참여 ③나토 밀착... 尹, 우크라 군사지원 노림수는",https://v.daum.net/v/20230419140057255
